Volcano_Number,Volcano_Name,Primary_Volcano_Type,Latitude,Longitude,Elevation
290100,Aki,Synonym of Menshoi Brat,NULL,NULL,NULL
222052,Akiloset Springs,Hot Spring of Silali,NULL,NULL,NULL
332020,Akimoana,Submarine cone of Mauna Loa,NULL,NULL,NULL
283220,Akita-Fuji,Synonym of Chokaisan,NULL,NULL,NULL
284150,Asuncion,Stratovolcano,19.671,145.406,857
283230,Akita-Komaga-take,Synonym of Akita-Komagatake,NULL,NULL,NULL
225005,Atakor Volcanic Field,Pyroclastic cone(s),23.33,5.83,2918
283260,Akita-Yake-yama,Synonym of Akita-Yakeyama,NULL,NULL,NULL
300060,Akkktivnaya Voronka,Crater of Mutnovsky,NULL,NULL,NULL
271020,Akmoan,Thermal of Matutum,NULL,NULL,NULL
257070,"Akoma, Tavani",Cone of Kuwae,NULL,NULL,NULL
302030,Aku,Cone of Udokan Plateau,NULL,NULL,NULL
311160,Atka,Stratovolcano(es),52.331,-174.139,1448
320030,Atlin Volcanic Field,Pyroclastic cone(s),59.68,-133.32,1880
231071,Al Wahbah,"Maar of Kishb, Harrat",NULL,NULL,NULL
332010,Alae,Former pit crater of Kilauea,NULL,NULL,NULL
257030,"Alaembakeo, Vuti",Cone of Ambae,NULL,NULL,NULL
214060,Alagey,Synonym of Aragats,NULL,NULL,NULL
312140,Alagogshak,Stratovolcano of Martin,NULL,NULL,NULL
300240,Alaid,Pyroclastic cone of Tolbachik,NULL,NULL,NULL
313010,Augustine,Lava dome(s),59.363,-153.43,1252
300100,Avachinsky,Stratovolcano,53.256,158.836,2717
263200,Alang,Stratovolcano of Dieng Volcanic Complex,NULL,NULL,NULL
214070,Alapars,Dome of Ghegham Volcanic Ridge,NULL,NULL,NULL
231001,"Al-Arab, Djebel","Synonym of Druze, Jabal ad",NULL,NULL,NULL
332040,"Alauawa, Puu",Cone of Hualalai,NULL,NULL,NULL
331021,Axial Seamount,Submarine,45.95,-130,-1410
211004,"Albains, Monts",Synonym of Colli Albani,NULL,NULL,NULL
211004,Alban Hills,Synonym of Colli Albani,NULL,NULL,NULL
211004,Albano,Maar of Colli Albani,NULL,NULL,NULL
211060,"Albano, Monte",Pyroclastic cone of Etna,NULL,NULL,NULL
353090,Albany Island,Cone of Santiago,NULL,NULL,NULL
273030,Albay Volcano,Synonym of Mayon,NULL,NULL,NULL
341060,"Alberca, Cerro de la","Synonym of Pario, Cerro de",NULL,NULL,NULL
341060,"Alberca, La",Maar of Michoacan-Guanajuato,NULL,NULL,NULL
241020,Albert Park,Cone of Auckland Volcanic Field,NULL,NULL,NULL
241020,"Albert, Mount",Cone of Auckland Volcanic Field,NULL,NULL,NULL
302070,Albine-Boldok,Cone of Azas Plateau,NULL,NULL,NULL
231180,Albit Hut,Synonym of Bir Borhut,NULL,NULL,NULL
271020,Albulhek,Cone of Matutum,NULL,NULL,NULL
341020,Barcena,Pyroclastic cone(s),19.3,-110.82,332
341092,Alchichica,Tuff ring of Serdán-Oriental,NULL,NULL,NULL
231160,Al-djabal Al-aswad,"Synonym of Sawad, Harra Es-",NULL,NULL,NULL
373030,Bardarbunga,Stratovolcano,64.633,-17.516,2000
221090,Alebbagu,Synonym of Ale Bagu,NULL,NULL,NULL
343080,"Alegría, Ausoles de la Laguna de",Thermal of Tecapa,NULL,NULL,NULL
343080,"Alegría, Cerro",Cone of Tecapa,NULL,NULL,NULL
231120,"Alessi, Djebel","Synonym of Esi, Jabal el-",NULL,NULL,NULL
360170,"Alexander, Mount",Dome of St. Catherine,NULL,NULL,NULL
212050,Alexandros,Vent of Nisyros,NULL,NULL,NULL
390013,Aleyone,"Cone of Pleiades, The",NULL,NULL,NULL
382080,"Alferes, Caldeira do",Cone of Sete Cidades,NULL,NULL,NULL
382080,"Alferes, Caldeira do",Pumice ring of Sete Cidades,NULL,NULL,NULL
233020,"Alfred Picard, Cratere","Crater of Fournaise, Piton de la",NULL,NULL,NULL
372030,Alftakvislarhraun,Fissure vent of Katla,NULL,NULL,NULL
371060,Alftarholl,Crater of Grimsnes,NULL,NULL,NULL
221080,Ali Bogo,Synonym of Erta Ale,NULL,NULL,NULL
213010,Ali Dag,Dome of Erciyes Dagi,NULL,NULL,NULL
300280,Alianngei,Synonym of Ichinsky,NULL,NULL,NULL
357110,Aliante,Synonym of Llaima,NULL,NULL,NULL
315070,Behm Canal-Rudyerd Bay,Pyroclastic cone(s),55.32,-131.05,500
322060,Belknap,Shield(s),44.285,-121.841,2095
221040,Alit,Synonym of Alid,NULL,NULL,NULL
355094,Alitar,Maar of Purico Complex,NULL,NULL,NULL
300280,Aljanngej,Synonym of Ichinsky,NULL,NULL,NULL
341092,Aljojuca,Maar of Serdán-Oriental,NULL,NULL,NULL
231110,Al-khurdj Bal Djild,Synonym of Khurdj El-Aisar,NULL,NULL,NULL
231001,Al-Lajat,Volcanic field of Harrat Ash Shamah,NULL,NULL,NULL
273060,Alligator Lake,Maar of San Pablo Volcanic Field,NULL,NULL,NULL
300640,Bely,Shield(s),57.88,160.53,2080
383030,Almarchiga,"Synonym of Fasnia, Volcán de",NULL,NULL,NULL
372030,Almenningahraun,Fissure vent of Katla,NULL,NULL,NULL
390022,Berlin,Shield(s),-76.05,-136,3478
342040,"Almolonga, Baños",Thermal of Almolonga,NULL,NULL,NULL
211071,Almonza,Vent of Pantelleria,NULL,NULL,NULL
300280,Alnei,Synonym of Ichinsky,NULL,NULL,NULL
300450,Alnei,Synonym of Alney,NULL,NULL,NULL
300450,Alney,Stratovolcano of Alney-Chashakondzha,NULL,NULL,NULL
300250,Bezymianny,Stratovolcano,55.972,160.595,2882
300600,Alngei,Synonym of Alngey,NULL,NULL,NULL
312080,Black Peak,Stratovolcano,56.552,-158.785,1032
244020,Alofau,Pleistocene caldera of Tutuila,NULL,NULL,NULL
332010,Aloi,Former pit crater of Kilauea,NULL,NULL,NULL
268040,"Alon, Mount",Cone of Gamkonora,NULL,NULL,NULL
357111,Alpehue,Crater of Sollipulli,NULL,NULL,NULL
372010,Alsey,Cone of Vestmannaeyjar,NULL,NULL,NULL
344120,Alta Gracia,Pyroclastic cone of Concepcion,NULL,NULL,NULL
383040,"Alta, Montaña",Cone of Gran Canaria,NULL,NULL,NULL
210010,Alter Voss,Cone of West Eifel Volcanic Field,NULL,NULL,NULL
382090,"Altinetes, Pico",Dome of Agua de Pau,NULL,NULL,NULL
345060,"Alto Grande, Cerro",Cone of Irazu,NULL,NULL,NULL
342111,"Alto, Cerro",Pyroclastic cone of Cuilapa-Barbarena,NULL,NULL,NULL
343041,"Alto, Cerro",Pyroclastic cone of Coatepeque Caldera,NULL,NULL,NULL
341060,"Alto, Cerro",Shield volcano of Michoacan-Guanajuato,NULL,NULL,NULL
382050,"Alto, Pico",Stratovolcano of Terceira,NULL,NULL,NULL
357102,"Blanca, Laguna",Volcanic field,-39.02,-70.37,1700
263100,Alunalun,Crater of Papandayan,NULL,NULL,NULL
300490,Bliznets,Stratovolcano,56.97,159.78,1244
341060,Alvarez,Maar of Michoacan-Guanajuato,NULL,NULL,NULL
271031,Amacan-Gopod,Thermal of Leonard Range,NULL,NULL,NULL
282120,Amagase,Thermal of Kujusan,NULL,NULL,NULL
283010,Amagisan,Stratovolcano of Izu-Tobu,NULL,NULL,NULL
311100,Bobrof,Stratovolcano,51.91,-177.438,738
231060,"Am'am, Jabal","Dome of Khaybar, Harrat",NULL,NULL,NULL
223020,Amani,Cone of Nyamuragira,NULL,NULL,NULL
311190,Amarchta,Synonym of Amukta,NULL,NULL,NULL
243100,Amargura,Synonym of Fonualei,NULL,NULL,NULL
383060,"Amarilla, Montaña",Cone of Lanzarote,NULL,NULL,NULL
357066,Amarillo,Pyroclastic cone of Payun Matru,NULL,NULL,NULL
221107,Amarti,Synonym of Borawli,NULL,NULL,NULL
311300,Bogoslof,Submarine,53.93,-168.03,150
343050,Amatepeque,"Synonym of Jabalí, Cerro El",NULL,NULL,NULL
342110,Amatitlán,Pleistocene caldera of Pacaya,NULL,NULL,NULL
243060,Amatofua,Synonym of Tofua,NULL,NULL,NULL
