Volcano_Number,Volcano_Name,Primary_Volcano_Type,Latitude,Longitude,Elevation
323020,Lyons Peak,Cone of Medicine Lake,NULL,NULL,NULL
370020,Lysuhóll,Synonym of Helgrindur,NULL,NULL,NULL
370020,Lysuhyrna,Vent of Helgrindur,NULL,NULL,NULL
370020,Lysuskard,Synonym of Helgrindur,NULL,NULL,NULL
357121,Quetrupillan,Stratovolcano,-39.496,-71.722,2360
273042,Maalsom,Thermal of Isarog,NULL,NULL,NULL
275001,Maanling,Pyroclastic cone of Hainan Volcanic Field,NULL,NULL,NULL
275110,Maanshan,Pyroclastic cone of Tengchong,NULL,NULL,NULL
273090,Maasok,Thermal of Cagua,NULL,NULL,NULL
273060,"Mabilog, Mount",Cone of San Pablo Volcanic Field,NULL,NULL,NULL
271030,Mabollo Spring,Hot Spring of Apo,NULL,NULL,NULL
222130,Mabuani,Cone of Chyulu Hills,NULL,NULL,NULL
355032,Tata Sabaya,Stratovolcano,-19.13,-68.53,5430
343052,"Macanze, Cerro",Pyroclastic cone of Guazapa,NULL,NULL,NULL
360100,"Macaque, Morne",Synonym of Micotrin,NULL,NULL,NULL
352090,"Macas, Volcan de",Synonym of Sangay,NULL,NULL,NULL
357153,Antillanca Volcanic Complex,Stratovolcano(es),-40.783,-72.15,1979
211071,"Maccotta, Cuddia",Shield volcano of Pantelleria,NULL,NULL,NULL
283080,Midagahara,Stratovolcano,36.571,137.59,2621
341001,Macdougal,Maar of Pinacate,NULL,NULL,NULL
234010,Macey Cone,Cone of Heard,NULL,NULL,NULL
290072,Machekh,Crater of Odamoisan [Tebenkov],NULL,NULL,NULL
290072,Machekha,Synonym of Machekh,NULL,NULL,NULL
354006,Sabancaya,Stratovolcano(es),-15.787,-71.857,5960
320160,Machmel River,Cone of Silverthrone,NULL,NULL,NULL
355090,Machuca,Synonym of Putana,NULL,NULL,NULL
382050,Macico da Agualva,Synonym of Guilherme Moniz,NULL,NULL,NULL
342110,Mackenney,Stratovolcano of Pacaya,NULL,NULL,NULL
273070,Macolod,Stratovolcano of Taal,NULL,NULL,NULL
355094,"Macon, Cerros de",Stratovolcano of Purico Complex,NULL,NULL,NULL
360120,"Macouba, Morne",Crater of Pelée,NULL,NULL,NULL
271040,Macuturin,Synonym of Makaturing,NULL,NULL,NULL
271040,Macutusing,Synonym of Makaturing,NULL,NULL,NULL
373030,Madahraun,Fissure vent of Bardarbunga,NULL,NULL,NULL
360040,Madden's Mount,Dome of Nevis Peak,NULL,NULL,NULL
241061,Maroa,Caldera(s),-38.42,176.08,897
360060,Madeleine,Dome of Soufrière Guadeloupe,NULL,NULL,NULL
268060,"Madiena, Bukit","Synonym of Keramat, Bukit",NULL,NULL,NULL
382120,Madiera,Synonym of Madeira,NULL,NULL,NULL
261121,Malintang,Stratovolcano,0.47,99.67,1983
231070,"Madinah, Harrat","Synonym of Rashid, Harrat",NULL,NULL,NULL
211070,Madrepore,Submarine crater of Campi Flegrei del Mar di Sicilia,NULL,NULL,NULL
282043,Maedake,Dome of Kuchinoshima,NULL,NULL,NULL
282043,Mae-dake,Synonym of Maedake,NULL,NULL,NULL
282100,Mae-dake,Synonym of Mayu-yama,NULL,NULL,NULL
283190,Maeeboshi-dake,Stratovolcano of Zaozan [Zaosan],NULL,NULL,NULL
283170,Maega-take,Stratovolcano of Adatarayama,NULL,NULL,NULL
283110,Maekake-yama,Stratovolcano of Asamayama,NULL,NULL,NULL
371051,Maelifell,Tuya of Hromundartindur,NULL,NULL,NULL
372030,Maelifellshraun,Fissure vent of Katla,NULL,NULL,NULL
371090,Maenir,Dome of Hofsjokull,NULL,NULL,NULL
210040,"Maestras, Las",Maar of Calatrava Volcanic Field,NULL,NULL,NULL
285050,Mae-Tokachi-dake,Stratovolcano of Tokachidake,NULL,NULL,NULL
283151,Maeyama,Dome of Numazawa,NULL,NULL,NULL
283151,Mae-yama,Synonym of Maeyama,NULL,NULL,NULL
244040,Mafane,Cone of Savai'i,NULL,NULL,NULL
382080,"Mafra, Pico de",Cone of Sete Cidades,NULL,NULL,NULL
223004,Mafura Craters,Crater of Bunyaruguru,NULL,NULL,NULL
244040,Maga,Cone of Savai'i,NULL,NULL,NULL
244010,Maga Point,Cone of Ofu-Olosega,NULL,NULL,NULL
272010,Magaso,Synonym of Cuernos de Negros,NULL,NULL,NULL
272010,Magasu,Synonym of Cuernos de Negros,NULL,NULL,NULL
271060,Magasu,Synonym of Ragang,NULL,NULL,NULL
223004,Magdgo,Crater of Bunyaruguru,NULL,NULL,NULL
222040,Namarunu,Shield,1.98,36.43,817
233020,"Magne, Cratere","Crater of Fournaise, Piton de la",NULL,NULL,NULL
358012,"Magneto, El",Cone of Cayutué-La Viguería,NULL,NULL,NULL
271020,Magolo,Cone of Matutum,NULL,NULL,NULL
273090,Magrafil,Thermal of Cagua,NULL,NULL,NULL
283210,Magusa-dake,Stratovolcano of Kurikomayama,NULL,NULL,NULL
300240,Maguskin,Pyroclastic cone of Tolbachik,NULL,NULL,NULL
355010,Tacora,Stratovolcano(es),-17.72,-69.77,5980
272070,Mahagnaw,Synonym of Mahagnao,NULL,NULL,NULL
263300,Mahameru,Synonym of Semeru,NULL,NULL,NULL
356011,"Mahatua, Volcán",Pyroclastic cone of Easter Island,NULL,NULL,NULL
266110,Mahawoe,Synonym of Mahawu,NULL,NULL,NULL
357100,Lonquimay,Stratovolcano,-38.379,-71.586,2832
223003,Mahega,Tuff cone of Katwe-Kikorongo,NULL,NULL,NULL
267030,Mahengetang,Synonym of Banua Wuhu,NULL,NULL,NULL
332060,"Mahoe, Puu",Cone of Haleakala,NULL,NULL,NULL
259010,Maiden Hill,Cone of Newer Volcanics Province,NULL,NULL,NULL
244040,Maile,Cone of Savai'i,NULL,NULL,NULL
332060,"Maile, Puu",Cone of Haleakala,NULL,NULL,NULL
233020,Maillard,"Crater of Fournaise, Piton de la",NULL,NULL,NULL
390020,Main Crater,Crater of Erebus,NULL,NULL,NULL
331010,Main Endeavour,Thermal of Endeavour Segment,NULL,NULL,NULL
273060,Mainit,Synonym of Maquiling,NULL,NULL,NULL
273050,Mainit Hot Springs,Hot Spring of Banahaw,NULL,NULL,NULL
290100,Maioro,Synonym of Moyorodake,NULL,NULL,NULL
290100,Maioro,Synonym of Moyorodake [Medvezhia],NULL,NULL,NULL
357020,Maipo,Synonym of San Jose,NULL,NULL,NULL
355021,Tambo Quemado,Pyroclastic shield,-18.62,-68.75,4215
357021,Maipu,Synonym of Maipo,NULL,NULL,NULL
357020,Maipu,Synonym of San Jose,NULL,NULL,NULL
390028,Maish Nunatak,Cone of Hudson Mountains,NULL,NULL,NULL
268061,Maitara,Cone of Tidore,NULL,NULL,NULL
222056,Maitei,Cone of Nyambeni Hills,NULL,NULL,NULL
360170,"Maitland, Mount",Stratovolcano of St. Catherine,NULL,NULL,NULL
342030,"Majadas, Las",Stratovolcano of Santa Maria,NULL,NULL,NULL
273050,Majaijai,Synonym of Banahaw,NULL,NULL,NULL
231001,Majdel Shams,Cone of Harrat Ash Shamah,NULL,NULL,NULL
383030,"Majúa, Montaña",Dome of Tenerife,NULL,NULL,NULL
243120,Maka,Submarine crater of Tafu-Maka,NULL,NULL,NULL
252040,Makalia,Shield volcano of Dakataua,NULL,NULL,NULL
332030,"Makanaka, Puu",Cone of Mauna Kea,NULL,NULL,NULL
332010,Makaopuhi,Pit crater of Kilauea,NULL,NULL,NULL
241050,Makatiti,Dome of Okataina,NULL,NULL,NULL
357042,Calabozos,Caldera,-35.558,-70.496,3508
284140,Makhahnas,Submarine crater of Farallon de Pajaros,NULL,NULL,NULL
357090,Copahue,Stratovolcano,-37.856,-71.183,2953
273060,Makiling,Synonym of Maquiling,NULL,NULL,NULL
273070,"Makiling, Mount",Stratovolcano of Taal,NULL,NULL,NULL
222130,Makinku,Synonym of Mwailo,NULL,NULL,NULL
282120,Makinoto,Thermal of Kujusan,NULL,NULL,NULL
268070,Makjan,Synonym of Makian,NULL,NULL,NULL
282030,Makko-dai,Stratovolcano of Suwanosejima,NULL,NULL,NULL
322160,Maklaks Crater,Pyroclastic cone of Crater Lake,NULL,NULL,NULL
223001,Makome,Dome of Fort Portal,NULL,NULL,NULL
311310,Makouchine,Synonym of Makushin,NULL,NULL,NULL
332060,"Makua, Puu",Cone of Haleakala,NULL,NULL,NULL
273070,Makulot,Synonym of Macolod,NULL,NULL,NULL
263340,Raung,Stratovolcano,-8.119,114.056,3260
311310,Makushin Valley,Thermal of Makushin,NULL,NULL,NULL
285080,Makuwanchisappu,Dome of Kussharo,NULL,NULL,NULL
285080,Makuwan-Chisappu,Synonym of Makuwanchisappu,NULL,NULL,NULL
285080,Makuwan-Tisappu,Synonym of Makuwanchisappu,NULL,NULL,NULL
224030,Makwet,Cone of Oku Volcanic Field,NULL,NULL,NULL
268070,Makyan,Synonym of Makian,NULL,NULL,NULL
274010,"Malabsing, Mount",Dome of Camiguin de Babuyanes,NULL,NULL,NULL
342170,Malacara,Pyroclastic cone of Chingo,NULL,NULL,NULL
343020,Malacara,Stratovolcano of Santa Ana,NULL,NULL,NULL
341061,"Malacate, Cerro el",Cone of Zitácuaro-Valle de Bravo,NULL,NULL,NULL
272070,"Malagsom, Lake",Crater of Mahagnao,NULL,NULL,NULL
300140,Malaia Semiachik,Synonym of Maly Semyachik,NULL,NULL,NULL
300241,Malaia Udina,Synonym of Malaya Udina,NULL,NULL,NULL
252040,Malala,Synonym of Makalia,NULL,NULL,NULL
263090,Malang,Crater of Tangkuban Parahu,NULL,NULL,NULL
263180,"Malang Ii, Gunung",Cone of Slamet,NULL,NULL,NULL
263180,"Malang, Gunung",Cone of Slamet,NULL,NULL,NULL
272020,Malaspina,Synonym of Kanlaon,NULL,NULL,NULL
300261,Malaya Ploskaya,Synonym of Krestovsky,NULL,NULL,NULL
300241,Malaya Udina,Stratovolcano of Udina,NULL,NULL,NULL
300260,Malenkiy,Fissure vent of Klyuchevskoy,NULL,NULL,NULL
300240,Malenky,Pyroclastic cone of Tolbachik,NULL,NULL,NULL
300150,Malen'ky,Cone of Bolshoi Semiachik,NULL,NULL,NULL
272020,Malespina,Synonym of Kanlaon,NULL,NULL,NULL
211060,"Maletto, Monte",Pyroclastic cone of Etna,NULL,NULL,NULL
360140,Malgretoute,Dome of Qualibou,NULL,NULL,NULL
225050,Malha,Maar of Meidob Volcanic Field,NULL,NULL,NULL
322170,Malheur Maar,Maar of Diamond Craters,NULL,NULL,NULL
341007,"Malinche, Cerro de la",Cone of San Borja Volcanic Field,NULL,NULL,NULL
320120,Milbanke Sound Group,Pyroclastic cone(s),52.5,-128.73,335
241050,Okataina,Lava dome(s),-38.12,176.5,1111
314010,St. Paul Island,Shield,57.18,-170.3,203
300021,Yavinsky,Stratovolcano,51.533,156.629,646
244030,Maliota,Cone of Upolu,NULL,NULL,NULL
272040,Malisbog,Thermal of Silay,NULL,NULL,NULL
300240,Malishi,Pyroclastic cone of Tolbachik,NULL,NULL,NULL
272080,Malitawan,Stratovolcano of Biliran,NULL,NULL,NULL
212020,Malja Glat,Dome of Methana,NULL,NULL,NULL
212020,Malja Khoriou,Dome of Methana,NULL,NULL,NULL
212020,Malja Skurti,Dome of Methana,NULL,NULL,NULL
212020,Maljsa,Dome of Methana,NULL,NULL,NULL
221050,Gada Ale,Stratovolcano,13.975,40.408,287
221102,Mallali,Synonym of Mallahle,NULL,NULL,NULL
325010,Mallard Lake,Dome of Yellowstone,NULL,NULL,NULL
210030,"Mallola, Volcà",Cone of Olot Volcanic Field,NULL,NULL,NULL
252130,Malo,Cone - Crater of Lolobau,NULL,NULL,NULL
211040,Malo  Passo,Vent of Stromboli,NULL,NULL,NULL
273010,Malobago,Dome of Bulusan,NULL,NULL,NULL
252090,"Malobu, Mount","Synonym of Malopu, Mount",NULL,NULL,NULL
268010,Maloepang Magiwe,Synonym of Malupang Magiwe,NULL,NULL,NULL
268010,Maloepang Wariang,Synonym of Malupang Wariang,NULL,NULL,NULL
252090,"Malopu, Mount",Cone of Sulu Range,NULL,NULL,NULL
341060,Malpais,Synonym of Michoacan-Guanajuato,NULL,NULL,NULL
327120,Malpais Volcanic Field,Synonym of Zuni-Bandera,NULL,NULL,NULL
341092,"Malpais, Cerro","Synonym of Brujo, Cerro el",NULL,NULL,NULL
341031,"Malpaís, Cerro el",Dome of Mascota Volcanic Field,NULL,NULL,NULL
327110,"Malpais, The",Synonym of Carrizozo,NULL,NULL,NULL
341031,"Malpaís, Volcán",Pyroclastic cone of Mascota Volcanic Field,NULL,NULL,NULL
344080,Malpasillo,"Maar of Pilas, Las",NULL,NULL,NULL
383020,Malpaso,Pyroclastic cone of Hierro,NULL,NULL,NULL
244001,Maluatia,Cone of Ta'u,NULL,NULL,NULL
268010,Malupang Magiwe,Crater of Dukono,NULL,NULL,NULL
268010,Malupang Wariang,Stratovolcano of Dukono,NULL,NULL,NULL
283090,Niigata-Yakeyama,Lava dome,36.921,138.036,2400
300140,Maly Semiachik,Synonym of Maly Semyachik,NULL,NULL,NULL
300130,Maly Semiachik,Synonym of Karymsky,NULL,NULL,NULL
357020,San Jose,Stratovolcano(es),-33.789,-69.895,6070
311050,Malyi Sitkin,Synonym of Little Sitkin,NULL,NULL,NULL
300140,Malyj Semjatschik,Synonym of Maly Semyachik,NULL,NULL,NULL
300260,Malysh,Fissure vent of Klyuchevskoy,NULL,NULL,NULL
290070,Malysh,Cone of Etorofu-Yakeyama [Grozny Group],NULL,NULL,NULL
332060,"Mamane, Puu",Cone of Haleakala,NULL,NULL,NULL
271031,Mamaon,Dome of Leonard Range,NULL,NULL,NULL
344110,Mambacho,Synonym of Mombacho,NULL,NULL,NULL
271080,Mambajao,Stratovolcano of Camiguin,NULL,NULL,NULL
233020,Mamelon Central,"Former dome of Fournaise, Piton de la",NULL,NULL,NULL
251020,Mammamur,Synonym of Manam,NULL,NULL,NULL
323020,Mammoth Crater,Crater of Medicine Lake,NULL,NULL,NULL
325010,Mammoth Hot Springs,Hot Spring of Yellowstone,NULL,NULL,NULL
323150,Mammoth Knolls,Dome of Mammoth Mountain,NULL,NULL,NULL
252110,Bamus,Stratovolcano,-5.2,151.23,2248
273083,Mamot,Thermal of Pinatubo,NULL,NULL,NULL
213020,Mamrut Dagh,Synonym of Nemrut Dagi,NULL,NULL,NULL
357122,Mamuil Malal,Dome of Lanin,NULL,NULL,NULL
268010,"Mamuja, Gunung","Synonym of Mamuya, Gunung",NULL,NULL,NULL
268010,"Mamuya, Gunung",Stratovolcano of Dukono,NULL,NULL,NULL
253021,Mana,Synonym of Manna,NULL,NULL,NULL
272070,Manacagan,Synonym of Kasiboi,NULL,NULL,NULL
221103,Sork Ale,Stratovolcano,13.18,41.725,1611
260010,Barren Island,Stratovolcano,12.278,93.858,354
251020,Manamur,Synonym of Manam,NULL,NULL,NULL
357050,Manantial Pelado,Stratovolcano of Descabezado Grande,NULL,NULL,NULL
355200,"Manantial, Volcán del",Synonym of Peinado,NULL,NULL,NULL
244040,Mana'omia,Cone of Savai'i,NULL,NULL,NULL
373100,Manareyjar,Submarine crater of Tjornes Fracture Zone,NULL,NULL,NULL
373100,Manareyjar Ridge,Synonym of Tjornes Fracture Zone,NULL,NULL,NULL
273090,Manaring,Thermal of Cagua,NULL,NULL,NULL
257030,Manaro Ngoru,Crater of Ambae,NULL,NULL,NULL
271031,Manat,Thermal of Leonard Range,NULL,NULL,NULL
383010,"Manchas, Las",Synonym of Llano Del Banco,NULL,NULL,NULL
221122,Manda,Fissure vent of Manda-Inakir,NULL,NULL,NULL
231020,"Uwayrid, Harrat",Volcanic field,27.08,37.25,1920
314040,St. Michael,Shield(s),63.45,-162.12,715
302040,Vitim Volcanic Field,Pyroclastic cone(s),53.75,113.25,1250
221041,Dallol,Explosion crater(s),14.242,40.3,-48
222170,Mandanji,Dome of Kyejo,NULL,NULL,NULL
264071,"Mandasawu, Gunung","Synonym of Mandosawu, Pocok",NULL,NULL,NULL
264071,"Mandasowu, Gunung",Cone of Ranakah,NULL,NULL,NULL
255050,Mandegugusu,Synonym of Simbo,NULL,NULL,NULL
264071,"Mandosawu, Pocok",Dome of Ranakah,NULL,NULL,NULL
244040,Manga Afi,Synonym of Mauga Afi,NULL,NULL,NULL
224010,Manga-ma-loba,Synonym of Cameroon,NULL,NULL,NULL
241070,Manganamu,Dome of Taupo,NULL,NULL,NULL
241061,Mangatoetoe,Dome of Maroa,NULL,NULL,NULL
241061,Mangatutu,Dome of Maroa,NULL,NULL,NULL
241050,Mangawhakamana,Dome of Okataina,NULL,NULL,NULL
241020,Mangere Lagoon,Tuff ring of Auckland Volcanic Field,NULL,NULL,NULL
241020,Mangere Mountain,Cone of Auckland Volcanic Field,NULL,NULL,NULL
241010,Manginangina,Cone of Kaikohe-Bay of Islands,NULL,NULL,NULL
221330,Manguf,Cone of Mega Basalt Field,NULL,NULL,NULL
343082,"Manita, La","Lava cone of Tigre, El",NULL,NULL,NULL
273020,Manito,Thermal of Pocdol Mountains,NULL,NULL,NULL
253021,Manna,Dome of Managlase Plateau,NULL,NULL,NULL
358063,Mano de Diablo,Cone of Reclus,NULL,NULL,NULL
265080,Manoek,Synonym of Manuk,NULL,NULL,NULL
263110,"Manoek, Kawah","Synonym of Manuk, Kawah",NULL,NULL,NULL
283190,Manokami-dake,Stratovolcano of Zaozan [Zaosan],NULL,NULL,NULL
341080,Manteca,Pyroclastic cone of Chichinautzin,NULL,NULL,NULL
390028,"Manthe, Mount",Stratovolcano of Hudson Mountains,NULL,NULL,NULL
332010,"Manu, Lua",Pit crater of Kilauea,NULL,NULL,NULL
253004,Madilogo,Pyroclastic cone,-9.2,147.57,850
263110,"Manuk, Kawah",Thermal of Kendang,NULL,NULL,NULL
263100,"Manuk, Kawah",Thermal of Papandayan,NULL,NULL,NULL
245010,Manuka,Cone of Taveuni,NULL,NULL,NULL
251020,Manum,Synonym of Manam,NULL,NULL,NULL
251020,Manumudar,Synonym of Manam,NULL,NULL,NULL
251020,Manun,Synonym of Manam,NULL,NULL,NULL
241020,Manurewa,Cone of Auckland Volcanic Field,NULL,NULL,NULL
222110,Manyatta,Synonym of Sampu Olkuo,NULL,NULL,NULL
283120,Manza Hot Springs,Hot Spring of Kusatsu-Shiranesan,NULL,NULL,NULL
358010,Osorno,Stratovolcano,-41.105,-72.496,2659
304030,Maoniu Shan,Pyroclastic cone of Kunlun Volcanic Group,NULL,NULL,NULL
273060,Maquilan,Synonym of Maquiling,NULL,NULL,NULL
273060,Maquiling,Stratovolcano of San Pablo Volcanic Field,NULL,NULL,NULL
210030,"Mar, Puig de",Cone of Olot Volcanic Field,NULL,NULL,NULL
346030,"Mar, Río","Crater of Valle, El",NULL,NULL,NULL
241061,Maraemanuka,Dome of Maroa,NULL,NULL,NULL
250010,St. Andrew Strait,Complex,-2.38,147.35,270
261230,"Marapi, Gunung",Stratovolcano of Dempo,NULL,NULL,NULL
271030,Marawer Spring,Hot Spring of Apo,NULL,NULL,NULL
354005,Marbas,Pyroclastic cone of Huambo,NULL,NULL,NULL
354005,Marbas Chico,Pyroclastic cone of Huambo,NULL,NULL,NULL
354005,"Marbas Grande, Cerro",Pyroclastic cone of Huambo,NULL,NULL,NULL
352011,"Marca, Loma la",Dome of Pululahua,NULL,NULL,NULL
300260,March,Fissure vent of Klyuchevskoy,NULL,NULL,NULL
212050,Nisyros,Stratovolcano,36.586,27.16,698
211004,"Marciana, Valle",Maar of Colli Albani,NULL,NULL,NULL
233020,"Marco, Cratere","Crater of Fournaise, Piton de la",NULL,NULL,NULL
382100,"Marcondas, Pica das",Dome of Furnas,NULL,NULL,NULL
321070,Indian Heaven,Shield(s),45.93,-121.82,1806
211030,Marecocco,Dome of Ischia,NULL,NULL,NULL
383020,"Mareta, Caldera de la",Crater of Hierro,NULL,NULL,NULL
383030,"Mareta, La",Cone of Tenerife,NULL,NULL,NULL
342130,"Margaritas, Volcancito",Pyroclastic cone of Moyuta,NULL,NULL,NULL
257110,Aneityum,Stratovolcano(es),-20.2,169.78,852
354050,Yucamane,Stratovolcano(es),-17.184,-70.196,5495
382090,"Mariana, Pico da",Cone of Agua de Pau,NULL,NULL,NULL
263090,Maribaya,Thermal of Tangkuban Parahu,NULL,NULL,NULL
390829,Marina,Tuff cone of James Ross Island,NULL,NULL,NULL
275020,Ly Son Group,Volcanic field,15.38,109.12,157
355030,Isluga,Stratovolcano,-19.15,-68.83,5550
283040,Marishiten,Crater of Ontakesan,NULL,NULL,NULL
283060,Marishiten,Crater of Norikuradake,NULL,NULL,NULL
283220,Chokaisan,Stratovolcano(es),39.099,140.049,2236
370030,Ljosufjoll,Fissure vent(s),64.9,-22.483,1063
372050,Markarfljot,Dome of Torfajokull,NULL,NULL,NULL
273044,Marlanga,Synonym of Malindig,NULL,NULL,NULL
357020,Marmolejo,Stratovolcano of San Jose,NULL,NULL,NULL
320150,Wells Gray-Clearwater,Pyroclastic cone(s),52.33,-120.57,2576
241061,Maroa North,Dome of Maroa,NULL,NULL,NULL
241061,Maroa South,Dome of Maroa,NULL,NULL,NULL
241061,Maroa West,Dome of Maroa,NULL,NULL,NULL
241061,Maroanui,Dome of Maroa,NULL,NULL,NULL
241070,Marotiri,Dome of Taupo,NULL,NULL,NULL
257040,Maroum,Synonym of Marum,NULL,NULL,NULL
341080,"Marqués, Cerro el",Cone of Chichinautzin,NULL,NULL,NULL
283131,Hiuchigatake,Stratovolcano,36.955,139.285,2356
283260,Akita-Yakeyama,Stratovolcano,39.964,140.757,1366
341007,San Borja Volcanic Field,Pyroclastic cone(s),28.5,-113.75,1360
211003,"Martana, Isola",Cone of Vulsini,NULL,NULL,NULL
351080,Marte,Crater of Galeras,NULL,NULL,NULL
383040,"Marteles, Caldera de",Maar of Gran Canaria,NULL,NULL,NULL
383010,Martin,Synonym of San Martín,NULL,NULL,NULL
283280,Hakkodasan,Stratovolcano(es),40.659,140.877,1585
210030,"Martinya, Puig de",Cone of Olot Volcanic Field,NULL,NULL,NULL
241011,Maruata,Cone of Whangarei,NULL,NULL,NULL
257040,Marum,Crater - Cone of Ambrym,NULL,NULL,NULL
257040,Marumliglar,Crater of Ambrym,NULL,NULL,NULL
283010,Maruno-yama,Pyroclastic cone of Izu-Tobu,NULL,NULL,NULL
282090,Maruoka-yama,Cone of Kirishimayama,NULL,NULL,NULL
284020,Marushima-yama,Dome of Niijima,NULL,NULL,NULL
284020,Marusima-yama,Synonym of Marushima-yama,NULL,NULL,NULL
283290,Maruyama,Dome of Osorezan,NULL,NULL,NULL
283160,Maruyama,Cone of Bandaisan,NULL,NULL,NULL
285080,Maruyama,Dome of Kussharo,NULL,NULL,NULL
341040,Colima,Stratovolcano(es),19.514,-103.62,3850
285061,Maruyama,Dome of Maruyama,NULL,NULL,NULL
282110,Maruyama,Stratovolcano of Asosan,NULL,NULL,NULL
282110,Maru-yama,Synonym of Maruyama,NULL,NULL,NULL
283010,Maru-yama,Cone of Izu-Tobu,NULL,NULL,NULL
283030,Maru-yama,Cone of Fujisan,NULL,NULL,NULL
285061,Maru-yama,Synonym of Maruyama,NULL,NULL,NULL
285080,Maru-yama,Synonym of Maruyama,NULL,NULL,NULL
285050,Maru-yama,Cone of Tokachidake,NULL,NULL,NULL
283290,Maru-yama,Synonym of Maruyama,NULL,NULL,NULL
284060,Maru-yama,Cone of Aogashima,NULL,NULL,NULL
325010,Mary Bay,Crater of Yellowstone,NULL,NULL,NULL
360020,Mary's Glory,"Stratovolcano of Quill, The",NULL,NULL,NULL
360010,Mary's Point Mountain,Dome of Saba,NULL,NULL,NULL
263100,"Mas, Kawah",Thermal of Papandayan,NULL,NULL,NULL
244040,Masa,Cone of Savai'i,NULL,NULL,NULL
290380,Masakari-yama,Synonym of Ebeko,NULL,NULL,NULL
273050,Masalakot,Dome of Banahaw,NULL,NULL,NULL
354002,Sara Sara,Stratovolcano,-15.33,-73.45,5522
266110,Masarang,Cone of Mahawu,NULL,NULL,NULL
343001,"Masatepeque, Cerro",Pyroclastic cone of San Diego,NULL,NULL,NULL
370020,Helgrindur,Pyroclastic cone(s),64.866,-23.283,986
344100,Masaya,Crater of Masaya,NULL,NULL,NULL
232002,Sabalan,Stratovolcano,38.268,47.835,4784
223004,Masecha,Crater of Bunyaruguru,NULL,NULL,NULL
266040,"Masem, Kawah",Maar of Riendengan-Sempu,NULL,NULL,NULL
223020,Mashiga,Cone of Nyamuragira,NULL,NULL,NULL
253050,Iamalele,Lava dome(s),-9.52,150.53,200
221150,Gabillema,Stratovolcano,11.08,41.27,1459
285081,Mashu,Caldera of Mashu,NULL,NULL,NULL
285081,Mashudake,Synonym of Kamuinupuri,NULL,NULL,NULL
223020,Mashumangabo,Cone of Nyamuragira,NULL,NULL,NULL
263150,Masigit,Crater of Talagabodas,NULL,NULL,NULL
263130,Masigit,Crater of Guntur,NULL,NULL,NULL
360010,Maskhorne Hill,Dome of Saba,NULL,NULL,NULL
222170,Massako,Maar of Kyejo,NULL,NULL,NULL
211020,Masseria Bosco del Monaco,Vent of Vesuvius,NULL,NULL,NULL
382001,"Masteiro, Caldeira",Crater of Flores,NULL,NULL,NULL
285081,Masyu,Synonym of Mashu,NULL,NULL,NULL
221107,Mat Ala,Crater of Borawli,NULL,NULL,NULL
357150,Puyehue-Cordon Caulle,Stratovolcano,-40.59,-72.117,2236
346030,Mata Ahogado,"Crater of Valle, El",NULL,NULL,NULL
382081,Mata das Feiticeiras,Cone of Picos Volcanic System,NULL,NULL,NULL
244040,Mata Ole Afi,Crater of Savai'i,NULL,NULL,NULL
244050,Mata Uta,Tuff cone of Wallis Islands,NULL,NULL,NULL
244040,Mata'aga,Cone of Savai'i,NULL,NULL,NULL
273083,Mataba,Dome of Pinatubo,NULL,NULL,NULL
244040,Matafa,Cone of Savai'i,NULL,NULL,NULL
244020,Matafao,Dome of Tutuila,NULL,NULL,NULL
241050,Matahawra,Dome of Okataina,NULL,NULL,NULL
241020,Matakarua,Cone of Auckland Volcanic Field,NULL,NULL,NULL
264080,Mataloko,Thermal of Inierie,NULL,NULL,NULL
342160,"Mataltepe, Cerro",Cone of Suchitán,NULL,NULL,NULL
231070,"Ma'tan, Jabal","Cone of Rahat, Harrat",NULL,NULL,NULL
244040,Mataulano,Pyroclastic cone of Savai'i,NULL,NULL,NULL
244040,Matavanu,Cone of Savai'i,NULL,NULL,NULL
224010,Mateer,Crater of Cameroon,NULL,NULL,NULL
222130,Mathaioni,Cone of Chyulu Hills,NULL,NULL,NULL
258010,Matheu,Synonym of Matthew Island,NULL,NULL,NULL
258010,Mathew,Synonym of Matthew Island,NULL,NULL,NULL
263290,Mati,Crater of Arjuno-Welirang,NULL,NULL,NULL
261220,"Mati, Kawa",Crater of Kaba,NULL,NULL,NULL
268030,"Mati, Lake",Maar of Ibu,NULL,NULL,NULL
233014,Matiankanina,Cone of Itasy Volcanic Field,NULL,NULL,NULL
341091,Matlacueyatl,"Synonym of Malinche, La",NULL,NULL,NULL
341091,Matlalcueye,"Synonym of Malinche, La",NULL,NULL,NULL
281032,Ma-tsao,Thermal of Tatun Volcanic Group,NULL,NULL,NULL
282070,Matsugakubo,Maar of Ata,NULL,NULL,NULL
283200,Matsugamine,Dome of Naruko,NULL,NULL,NULL
283250,Matsukawa,Thermal of Hachimantai,NULL,NULL,NULL
283240,Matsukawa Spa,Thermal of Iwatesan,NULL,NULL,NULL
290240,Matsuwa-jima,Synonym of Sarychev Peak,NULL,NULL,NULL
284030,Matsuyamahana,Dome of Kozushima,NULL,NULL,NULL
222052,Silali,Shield,1.15,36.23,1528
322070,Matthieu Lakes Fissure,Fissure vent of Three Sisters,NULL,NULL,NULL
290240,Matua-jima,Synonym of Sarychev Peak,NULL,NULL,NULL
222160,Matuffa Crater,Cone - Crater of Meru,NULL,NULL,NULL
